Id;Label
0;cuzzocrea, alfredo
1;demchenko, yuri
2;de laat, cees
3;membrey, peter
4;sun, zhaohao
5;strang, kenneth
6;li, rongping
7;kumar, nishant
8;zhang, du
9;huang, xiaotao
10;qin, niannian
11;zhang, xiaofang
12;wang, fen
13;parikh, harshil
14;liu, jiangjiang
15;liu, naili
16;blanke, tobias
17;wang, yingxu
18;li, guijie
19;liu, yutao
20;zhao, hang
21;cai, hengyu
22;bhat, anjum zameer
23;ahmed, imran
24;chen, jinchuan
25;chen, yueguo
26;du, xiaoyong
27;li, cuiping
28;lu, jiaheng
29;zhao, suyun
30;zhou, xuan
31;chatfield, akemi takeoka
32;ojo, adegboyega
33;puron-cid, gabriel
34;reddick, christopher g.
35;leung, carson k.
36;zhang, hao
37;he, jing
38;wang, chuyi
39;chen, haonan
40;hao, shengbin
41;zhang, haili
42;song, michael
43;qin, h. f.
44;qian, z. m.
45;kim, sung-hwan
46;kim, nam-uk
47;chung, tai-myoung
48;tao, tang
49;huang, jinxin
50;niu, lin
51;zhan, jie
52;peng, xiaosheng
53;bai, junyang
54;cheng, shijie
55;kune, raghavendra
56;konugurthi, pramod kumar
57;agarwal, arun
58;chillarige, raghavendra rao
59;buyya, rajkumar
60;gezgin, ulas basar
61;liu, xiangju
62;deng, diyuan
63;wang, paul p.
64;patgiri, ripon
65;peng, jun
66;zhu, yue
67;zhang, airong
68;lv, na
69;kasemsap, kijpokin
70;picciotto, robert
71;fatima, tahmeena
72;jyothi, singaraju
73;hu shuijing
74;bhardwaj, vibha
75;johari, rahul
76;ahmed, arif
77;meghisan-toma, georgeta-madalina
78;meghisan, gheorghe
79;bagherzadeh, mehdi
80;khatchadourian, raffi
81;giusino, davide
82;fraboni, federico
83;de angelis, marco
84;pietrantoni, luca
85;feng, jun
86;yang, laurence t.
87;zhang, ronghao
88;sangeeta
89;sharma, kapil
90;fang, wei
91;wen, xue zhi
92;zheng, yu
93;zhou, ming
94;wang, lidong
95;alexander, cheryl ann
96;chawda, rahul kumar
97;thakur, ghanshyam
98;xie, chunli
99;gao, jerry
100;tao, chuanqi
101;lam, son k.
102;sleep, stefan
103;hennig-thurau, thorsten
104;sridhar, shrihari
105;saboo, alok r.
106;zheng, zibin
107;zhu, jieming
108;lyu, michael r.
109;xu, xiaofei
110;sheng, quan z.
111;zhang, liang-jie
112;fan, yushun
113;dustdar, schahram
114;zhu, yangqing
115;luo, ping
116;huo, yingyu
117;zuo, jun
118;ardagna, claudio a.
119;damiani, ernesto
120;krotsiani, maria
121;kloukinas, christos
122;spanoudakis, george
123;di, liping
124;yablonsky, sergey
125;wang, shuliang
126;yuan, hanning
127;mohamed, azlinah
128;najafabadi, maryam khanian
129;wah, yap bee
130;zaman, ezzatul akmal kamaru
131;maskat, ruhaila
132;song, wenfeng
133;yang, wanqing
134;luan, jingzhao
135;jiang, xuepu
136;wang, yuedong
137;alexandru, adriana
138;coardos, dora
139;huo, yanxia
140;bardi, matturdi
141;zhou xianwei
142;li shuai
143;lin fuhong
144;huang, xin
145;rehman, muhammad habib ur
146;liew, chee sun
147;abbas, assad
148;jayaraman, prem prakash
149;wah, teh ying
150;khan, samee u.
151;bendre, mininath r.
152;thool, vijaya r.
153;ge, mouzhi
154;dohnal, vlastislav
155;yu, hai
156;hu, chungjin
157;feng, wei
158;alguliyev, rasim
159;imamverdiyev, yadigar
160;yang, ming
161;ahmadi, mohammad
162;dileepan, parthasarati
163;wheatley, kathleen k.
164;solanki, neha
165;kachhwaha, rajendra
166;chen, aoyun
167;al-mekhlal, monerah
168;khwaj, amir ali
169;li, jun
170;lu, ming
171;dou, guowei
172;wang, shanyong
173;han, weihong
174;huang, zizhong
175;jia, yan
176;he, ying
177;yu, fei richard
178;zhao, nan
179;yin, hongxi
180;yao, haipeng
181;qiu, robert c.
182;shi, yong
183;kim, yunkon
184;kim, yong-hyun
185;lee, ga-won
186;huh, eui-nam
187;marfo, john serbe
188;boateng, richard
189;zhao, wenfeng
190;liu, guohua
191;chen, zhao
192;nyabuga, douglas
193;yang, huichun
194;zhang, heng
195;ni, mengfei
196;burunova, anna v.
197;al-sai, zaher ali
198;abdullah, rosni
199;husin, mohd heikal
200;bhardwaj, dave
201;ormandjieva, olga
202;huang, jun
203;zhu, dingju
204;tang, yong
205;mills, kathy a.
206;zhu, l. p.
207;hu, b.
208;ding, j.
209;zhou, a. h.
210;tardio, roberto
211;mate, alejandro
212;trujillo, juan
213;mahmoud, nesma
214;elbeh, heba
215;abdlkader, hatem m.
216;park, joon ho
217;park, jin ho
218;lee, nam young
219;chen, jilin
220;liu, nana
221;chen, yong
222;qiu, weijiang
223;maaz, zafira nadia
224;bandi, shamsulhadi
225;amirudin, roslan
226;liang, ye
227;zhang, guigang
228;xing, chunxiao
229;zhang, yong
230;li, chao
231;fuller, daniel
232;buote, richard
233;stanley, kevin
234;qin, haifei
235;sun, ying
236;zhao, yongchao
237;reddy, a. rishika
238;kumar, p. suresh
239;min, xiao
240;yue, he
