Id;Label
0;cuzzocrea, alfredo
1;he, jing
2;wang, chuyi
3;chen, haonan
4;zhang, airong
5;lv, na
6;meghisan-toma, georgeta-madalina
7;meghisan, gheorghe
8;sun, zhaohao
9;huo, yanxia
10;yang, ming
11;bhardwaj, dave
12;ormandjieva, olga
13;bai, zhongbo
14;bai, xiaomei
15;holwerda, jacob a.
16;bhardwaj, dave db
17;ormandjieva, olga oo
18;he, weina
19;wang, yafei
20;xia, dongliang
21;damiani, ernesto
22;jantavongso, suttisak
23;fusiripong, prashaya
24;yu, xiaolan
25;alnoukari, mouhib
26;syed, dabeeruddin
27;zainab, ameema
28;ghrayeb, ali
29;refaat, shady s.
30;abu-rub, haitham
31;bouhali, othmane
32;wang, bing
33;wang, yuanjie
34;zhang, jianjun
35;li, jing
36;atoum, ibrahim a.
37;keshta, ismail m.
38;cai, liya
39;yao, shuchun
40;nateghi, roshanak
41;aven, terje
42;al-yadumi, sohaib
43;xion, tan ee
44;wei, sharon goh wei
45;boursier, patrice
46;zhang, chao
47;kumar, akshay
48;kumar, t. v. vijay
49;jiang, sai
50;alsulbi, khalil
51;khemakhem, maher
52;basuhail, abdullah
53;eassa, fathy
54;jambi, kamal mansur
55;almarhabi, khalid
56;xie, peng
57;zhang, hongmei
58;xu, wenbao
59;hu, ying
60;ibrahim, awad elsayed awad
61;elamer, ahmed a.
62;ezat, amr nazieh
63;stauffer, jake
64;zhang, qingxue
65;xia, feng
66;giles, c. lee
67;liu, huan
68;wang, kuansan
69;cornelli, giulio
70;doerr, sebastian
71;gambacorta, leonardo
72;tissot, bruno
73;zhou, shengyao
74;zhang, runtong
75;chen, donghua
76;zhu, xiaomin
77;tian fupeng
78;shamim, saqib
79;yang, yumei
80;ul zia, najam
81;shah, mahmood hussain
82;leung, carson k.
83;wen, yan
84;zheng, hao
85;yang, xu
86;ataei, pouya
87;litchfield, alan
88;rouhani, saeed
89;rotbei, sayna
90;shah, syed iftikhar hussain
91;peristeras, vassilios
92;magnisalis, ioannis
93;sadat lavasani, mitra
94;raeisi ardali, nahid
95;sotudeh-gharebagh, rahmat
96;zarghami, reza
97;abonyi, janos
98;mostoufi, navid
99;guo, huadong
100;liang, dong
101;chen, fang
102;shirazi, zeeshan
103;liu, xu
104;li, ruoyu
105;yue, penghao
106;el falah, zineb
107;rafalia, najat
108;abouchabaka, jaafar
109;fu, chao
110;jiang, hao
111;chen, xi
112;aversa, joseph
113;hernandez, tony
114;doherty, sean
115;shen, yuncheng
116;guo, bing
117;shen, yan
118;duan, xuliang
119;dong, xiangqian
120;zhang, hong
121;zhang, chuanwu
122;jiang, yuming
123;cao qingyun
124;haider, murtaza
125;gandomi, amir
126;khan, firoz
127;prasad, balusupati veera venkata siva
128;syed, salman ali
129;ashraf, imran
130;ramasamy, lakshmana kumar
131;aguiar de sousa, diana
132;katan, mira
133;santarsiero, francesco
134;carlucci, daniela
135;jarrar, yasar
136;uzun-per, meryem
137;can, ali burak
138;gurel, ahmet volkan
139;aktas, mehmet s.
140;ardagna, claudio agostino
141;bellandi, valerio
142;bezzi, michele
143;ceravolo, paolo
144;hebert, cedric
145;goel, parth
146;patel, radhika
147;garg, dweepna
148;ganatra, amit
149;brinch, morten
150;gunasekaran, angappa
151;wamba, samuel fosso
152;cu kim long
153;agrawal, rashmi
154;ha quoc trung
155;hai van pham
156;bani-salameh, hani
157;al-qawagneh, mona
158;taamneh, salah
159;manogaran, gunasekaran
160;nguyen, tu n.
161;alselami, fudhah a.
162;wang, tianlei
163;harvey, james d.
164;pazdor, adam g. m.
165;chauhan, animesh singh
166;fan, lihe
167;hartmann, kim
168;lederer, matthias
169;ghedass, fedia
170;ben charrada, faouzi
171;clausen, johan bjerre bach
172;li, hongyan
173;cong, xiaoqi
174;wook, muslihah
175;hasbullah, nor asiakin
176;zainudin, norulzahrah mohd
177;jabar, zam zarina abdul
178;ramli, suzaimah
179;razali, noor afiza mat
180;yusop, nurhafizah moziyana mohd
181;kibria, md golam
182;joreimi, seyedeh golnoush (julie)
183;paghadal, vatsal keshavbhai
184;ghosh, suvankar
185;yao, fengge
186;wang, yihuan
187;aljumah, ahmad ibrahim
188;nuseir, mohammed t.
189;alam, md mahmudul
190;neric, vedrana
191;sarajlic, nermin
192;bahrami, farideh
193;kanaani, fatemeh
194;turkina, ekaterina
195;moin, mohammad shahram
196;shahbazi, meysam
197;xiao, xiaohong
198;zhu, yuqi
199;zhu, yuxi
200;zhao, qing
201;stoyanova, miglena
202;vasilev, julian
203;cristescu, marian
204;wang, hui
205;wu, hua
206;wang, xuelong
207;yuan, dongbing
208;xu, bintai
209;gao, sheng
210;olawoyin, anifat m.
211;ali, mubashir
212;scandurra, patrizia
213;moretti, fabio
214;blaso, laura
215;leccisi, mariagrazia
216;leccese, fabio
217;swain, prajna ritambhara
218;parida, pranaya kumar
219;behera, bijay kumar
220;swain, himanshu sekhar
221;sahu, sanjeev kumar
222;das, basanta kumar
223;pinto, vitor afonso
224;parreiras, fernando silva
225;lei, zhimei
226;chen, yandan
227;lim, ming k.
228;debao, dai
229;yinxia, ma
230;min, zhao
231;oatley, giles c.
232;doherty, jean-francois
233;chai, xuhong
234;cope, laurie e.
235;dutra, daniela de angeli
236;milotic, marin
237;ni, steven
238;park, eunji
239;filion, antoine
240;yu, linlan
241;lu, qing
242;yang, tingting
243;wan, junxiang
244;wen, weijiang
245;hu, dayan
246;goncalves-pinho, m.
247;ribeiro, j. p.
248;freitas, a.
249;yang, lei
250;jiang, anqian
251;zhang, jiahua
252;weerasinghe, kasuni
253;scahill, shane l.
254;pauleen, david j.
255;taskin, nazim
256;simoes, liliana
257;ladeiro, luis
258;bernardino, jorge
259;pedrosa, isabel
260;nie, wenyi
261;zhang, quanjiang
262;ouyang, zhiqiang
263;liu, xingang
264;rawat, danda b.
265;doku, ronald
266;garuba, moses
267;cetindamar, dilek
268;shdifat, baraah
269;erfani, eila
270;pallamala, rajesh kumar
271;rodrigues, paul
272;peng, junru
273;xu, heng
274;song, jun
275;bansal, veena
276;shukla, shubham
277;gao, haifeng
278;tang, chunlei
279;plasek, joseph m.
280;zhang, suhua
281;xiong, yun
282;zhu, yangyong
283;ma, jing
284;zhou, l., i
285;bates, david w.
286;jie, ryan cheah wei
287;tan, cha yao
288;teo, fang yenn
289;goh, boon hoe
290;mah, yau seng
291;brahmane, anilkumar, v
292;krishna, chaitanya b.
293;chen, xin
294;manikandan, r. p. s.
295;kalpana, a. m.
296;munshi, amr a.
297;alhindi, ahmad
298;liu, huazhong
299;yang, laurence t.
300;guo, yimu
301;xie, xia
302;ma, jianhua
303;razaghi, shokouh
304;shokouhyar, sajjad
305;liu, xiao-yuan
306;chuah, min hooi
307;thurusamry, ramayah
308;jekov, boyan
309;petkova, milena
310;gotsev, lyubomir
311;petkova, vladimira
312;long, ou
313;schmuecker, dirk
314;reif, julian
315;faridoon, amen
316;imran, muhammad
317;khan, ibrahim haleem
318;javaid, mohd
319;ghasemaghaei, maryam
320;jiang, jinglin
321;liao, li
322;lu, xi
323;wang, zhengwei
324;xiang, hongyu
325;zhan, keyu
326;zhan, kelei
327;zhang, rongbo
328;zhao, weiyu
329;wang, yixin
330;chen, chen
331;zhang, yao
332;shi, xiaoyong
333;haritashya, umesh k.
334;prakash, mahesh
335;wang, lei
336;ha, tien-dung
337;chow-white, peter a.
338;pham, cristina tu anh
339;magistretti, stefano
340;dell'era, claudio
341;xie, xiaoming
342;zhang, tengfei
343;zhu, qingyu
344;zhang, guigang
345;mathrani, sanjay
346;lai, xusheng
347;calic, goran
348;lv, hui
349;shi, si
350;gursoy, dogan
351;zhang, yucheng
352;xu, shan
353;zhang, long
354;yang, mengxi
355;major, pierre
356;li, guoyuan
357;hildre, hans petter
358;zhang, houxiang
359;prehofer, christian
360;khafizov, firuz
361;jurenoks, aleksejs
362;saidova, tahmina
363;khan, shahzia
364;alla, roopesh reddy
365;harrop, clare
366;dallman, aaron r.
367;boyd, brian a.
368;zhang, qingyu
369;yang, shimiao
370;liu, yanan
371;li, na
