Source;Target;Type;Label
1;0;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
1;3;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
1;2;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
2;0;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
2;3;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
3;0;Undirected;a survey on big data in medical and healthcare with a review of the state in bosnia and herzegovina
4;10;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
4;9;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
4;8;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
4;7;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
4;5;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;10;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;9;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;8;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;7;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;4;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
6;5;Undirected;curriculum reform in big data education at applied technical colleges and universities in china
11;10;Undirected;visualizing the hotspots and emerging trends of multimedia big data through scientometrics
12;16;Undirected;research on the construction of big data platform of shaanxi insurance industry
12;15;Undirected;research on the construction of big data platform of shaanxi insurance industry
12;14;Undirected;research on the construction of big data platform of shaanxi insurance industry
12;13;Undirected;research on the construction of big data platform of shaanxi insurance industry
14;16;Undirected;research on the construction of big data platform of shaanxi insurance industry
14;15;Undirected;research on the construction of big data platform of shaanxi insurance industry
14;13;Undirected;research on the construction of big data platform of shaanxi insurance industry
17;19;Undirected;impact of big data on oral health outcomes
17;18;Undirected;impact of big data on oral health outcomes
18;19;Undirected;impact of big data on oral health outcomes
20;21;Undirected;big data analytics and ethnography: together for the greater good
22;25;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
23;25;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
23;22;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
