Source;Target;Type;Label
1;2;Directed;Big Data Analytics in Health Care
5;3;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
5;4;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
5;7;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
6;3;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
6;4;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
6;5;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
6;7;Directed;The state of the art and taxonomy of big data analytics: view from new big data framework
9;8;Directed;An Iterative Methodology for Defining Big Data Analytics Architectures
9;10;Directed;An Iterative Methodology for Defining Big Data Analytics Architectures
10;8;Directed;An Iterative Methodology for Defining Big Data Analytics Architectures
11;12;Directed;Research on Big Data Reference Architecture Model
13;14;Directed;Does Big Data-Embedded New Product Development Influence Project Success?
13;15;Directed;Does Big Data-Embedded New Product Development Influence Project Success?
14;198;Directed;Creating Sustainable Innovativeness through Big Data and Big Data Analytics Capability: From the Perspective of the Information Processing Theory
16;17;Directed;Imbalanced big data classification based on virtual reality in cloud computing
19;18;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
20;18;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
20;19;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
20;21;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
21;18;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
21;19;Directed;Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
22;23;Directed;High-Speed Big Data Streams: A Literature Review
25;24;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
26;24;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
26;25;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
27;24;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
27;25;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
27;26;Directed;Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
