Author short Names;authors;articles
"Sun, ZH; Strang, K; Li, RP";"Sun, Zhaohao; Strang, Kenneth; Li, Rongping";Big Data with Ten Big Characteristics
"Li, GJ; Liu, YT; Zhao, H; Cai, HY";"Li, Guijie; Liu, Yutao; Zhao, Hang; Cai, Hengyu";Research on Application of Healthcare Data in Big Data Era
"Chatfield, AT; Ojo, A; Puron-Cid, G; Reddick, CG";"Chatfield, Akemi Takeoka; Ojo, Adegboyega; Puron-Cid, Gabriel; Reddick, Christopher G.";Census Big Data Analytics Use: International Cross Case Analysis
Patgiri, R;Patgiri, Ripon;Issues and Challenges in Big Data: A Survey
Zhu, Y;Zhu, Yue;China's Next Big Challenge: Big Data
"Feng, J; Yang, LT; Zhang, RH";"Feng, Jun; Yang, Laurence T.; Zhang, Ronghao";Tensor-Based Big Biometric Data Reduction in the Cloud
"Ardagna, CA; Damiani, E; Krotsiani, M; Kloukinas, C; Spanoudakis, G";"Ardagna, Claudio A.; Damiani, Ernesto; Krotsiani, Maria; Kloukinas, Christos; Spanoudakis, George";Big Data Assurance Evaluation: An SLA-based Approach
Huang, X;Huang, Xin;Research on Data Monitoring of University Library Driven by Big Data
"Ge, MZ; Dohnal, V";"Ge, Mouzhi; Dohnal, Vlastislav";Quality Management in Big Data
"Zhao, H; Li, GJ; Feng, W";"Zhao, Hang; Li, Guijie; Feng, Wei";Research on Visualization and Application of Medical Big Data
Burunova, AV;Burunova, Anna V.;The Big Data Analysis
Cuzzocrea, A;Cuzzocrea, Alfredo;Big Web Data: Warehousing and Analytics Recent Trends and Future Challenges
Mills, KA;Mills, Kathy A.;What are the threats and potentials of big data for qualitative research?
"Maaz, ZN; Bandi, S; Amirudin, R";"Maaz, Zafira Nadia; Bandi, Shamsulhadi; Amirudin, Roslan";A contextual parsing of big data values to quantity surveyors
"Mahmoud, N; Elbeh, H; Abdlkader, HM";"Mahmoud, Nesma; Elbeh, Heba; Abdlkader, Hatem M.";Ontology Learning Based on Word Embeddings for Text Big Data Extraction
"Ristevski, B; Chen, M";"Ristevski, Blagoj; Chen, Ming";Big Data Analytics in Medicine and Healthcare
"Huang, ZS; Zhang, CQ; Liang, MZ";"Huang, Zhen-sheng; Zhang, Chao-qun; Liang, Mei-zhen";Opportunities and Coping Strategies for Opening Big Data Majors in Colleges and Universities
"Wu, GY; Maalla, A; Wu, XL";"Wu, Guang-Yu; Maalla, Allam; Wu, Xiao-Ling";Teaching System Structure in Financial College Based on Big Data
"Li, YL; Huang, CY; Zhou, L";"Li, Yanling; Huang, Chunyan; Zhou, Ling";Impacts on Statistics Education in Big Data Era
"Giczi, J; Szoke, K";"Giczi, Johanna; Szoke, Katalin";Official Statistics and Big Data
"Yang, ZH; Wang, HY; Zhao, B; Han, ZH; Lu, WL";"Yang Zhao-hong; Wang Hui-yu; Zhao Bin; Han Zhi-he; Lu Wan-lin";A Literature Review on the Key Technologies of Processing Big Data
"Al-Badi, A; Tarhini, A; Khan, AI";"Al-Badi, Ali; Tarhini, Ali; Khan, Asharul Islam";Exploring Big Data Governance Frameworks
"Yu, P; Yan, H";"Yu, Ping; Yan, Hui";Study on Feature Selection and Feature Deep Learning Model For Big Data
"Wang, YC; Kung, L; Byrd, TA";"Wang, Yichuan; Kung, LeeAnn; Byrd, Terry Anthony";Big data analytics: Understanding its capabilities and potential benefits for healthcare organizations
Ma, X;Ma, Xiao;Is Big Data a Big Dilemma or a Big Opportunity in China? Intellectual Property Protection in the Era of Big Data
Zhang, DP;Zhang, Dongpo;Big Data Security and Privacy Protection
"Perera, WKR; Kulawansa, KADT";"Perera, W. K. R.; Kulawansa, K. A. Dilini T.";A Review of Big Data Analytics for Customer Relationship Management
"Erol, H; Erol, R";"Erol, Hamza; Erol, Recep";Determining Big Data Complexity Using Hierarchical Structure of Groups and Clusters in Decision Tree
"Bao, RX; Chen, ZK; Obaidat, MS";"Bao, Rongxin; Chen, Zhikui; Obaidat, Mohammad S.";Challenges and techniques in Big data security and privacy: A review
"Canbay, Y; Vural, Y; Sagiroglu, S";"Canbay, Yavuz; Vural, Yilmaz; Sagiroglu, Seref";Privacy Preserving Big Data Publishing
"Gardiner, A; Aasheim, C; Rutner, P; Williams, S";"Gardiner, Adrian; Aasheim, Cheryl; Rutner, Paige; Williams, Susan";Skill Requirements in Big Data: A Content Analysis of Job Advertisements
"Lv, DL; Zhu, SB; Xu, HZ; Liu, R";"Lv, Denglong; Zhu, Shibing; Xu, Huazheng; Liu, Ran";A Review of Big Data Security and Privacy Protection Technology
"Li, Z; Ren, YC";"Li, Zhe; Ren, Yongchang";Contingency Management in Big Data Era
"Chen, CH; Li, KJ";"Chen, Chun-Hui; Li, Ke-Jing";Application of Network Big Data on User Experience Application Model
