Author short Names;authors;articles
Gezgin, UB;Gezgin, Ulas Basar;An invitation to critical social science of big data: from critical theory and critical research to omniresistance
"Fatima, T; Jyothi, S";"Fatima, Tahmeena; Jyothi, Singaraju";Big Data Analytics in Health Care
"Mohamed, A; Najafabadi, MK; Wah, YB; Zaman, EAK; Maskat, R";"Mohamed, Azlinah; Najafabadi, Maryam Khanian; Wah, Yap Bee; Zaman, Ezzatul Akmal Kamaru; Maskat, Ruhaila";The state of the art and taxonomy of big data analytics: view from new big data framework
"Tardio, R; Mate, A; Trujillo, J";"Tardio, Roberto; Mate, Alejandro; Trujillo, Juan";An Iterative Methodology for Defining Big Data Analytics Architectures
"Luo, XF; Luo, J";"Luo Xiaofeng; Luo Jing";Research on Big Data Reference Architecture Model
"Wang, YF; Zhang, HL; Song, M";"Wang, Yufan; Zhang, Haili; Song, Michael";Does Big Data-Embedded New Product Development Influence Project Success?
"Xie, WD; Cheng, XC";"Xie, Wen-da; Cheng, Xiaochun";Imbalanced big data classification based on virtual reality in cloud computing
"Mahmood, K; Rahmah, M; Raza, MA; Raza, B";"Mahmood, Khalid; Rahmah, M.; Raza, Muhammad Ahsan; Raza, Binish";Recent Advances in Big Data: Features, Classification, Analytics, Research Challenges, and Future Trends
"Sneha, RP; Nagaraj, VD";"Sneha, R. Patil; Nagaraj, V. Dharwadkar";High-Speed Big Data Streams: A Literature Review
"Qian, L; Yu, J; Zhu, GX; Xie, RC; Chen, ZB; Wang, L; Pang, HM; Mei, Z; Xu, MJ; Chen, HY";"Qian, Lin; Yu, Jun; Zhu, Guangxin; Xie, Ruocheng; Chen, Zhengbo; Wang, Lin; Pang, Hengmao; Mei, Zhu; Xu, Mingjie; Chen, Haiyang";Review of the Basic Technology of Big Data on Analysis and Storage Applied in Power Grids
"Al-Sai, ZA; Abdullah, R; Husin, MH";"Al-Sai, Zaher Ali; Abdullah, Rosni; Husin, Mohd Heikal";Critical Success Factors for Big Data: A Systematic Literature Review
"Bolla, SJ; Jyothi, S";"Bolla, Sai Jyothi; Jyothi, S.";Big Data Modelling for Predicting Side-Effects of Anticancer Drugs: A Comprehensive Approach
"Sun, ZH; Strang, KD; Pambel, F";"Sun, Zhaohao; Strang, Kenneth David; Pambel, Francisca";Privacy and security in the big data paradigm
"Ordonez, C; Chen, ZB; Cuzzocrea, A; Garcia-Garcia, J";"Ordonez, Carlos; Chen, Zhibo; Cuzzocrea, Alfredo; Garcia-Garcia, Javier";An Intelligent Visual Big Data Analytics Framework for Supporting Interactive Exploration and Visualization of Big OLAP Cubes
"Khan, S; Alqahtani, S";"Khan, Shakir; Alqahtani, Salihah";Big Data Application and its Impact on Education
Nobanee, H;Nobanee, Haitham;Big Data in Business: A Bibliometric Analysis of Relevant Literature
"Faroukhi, AZ; El Alaoui, I; Gahi, Y; Amine, A";"Faroukhi, Abou Zakaria; El Alaoui, Imane; Gahi, Youssef; Amine, Aouatif";Big data monetization throughout Big Data Value Chain: a comprehensive review
"Sun, ML; Wu, YP";"Sun, Meiling; Wu, Yanping";A Comparative Study of Static Law and Dynamic Law in the Context of Big Data
"Gupta, NK; Rohil, MK";"Gupta, Nirmal Kumar; Rohil, Mukesh Kumar";Big Data Security Challenges and Preventive Solutions
"Taleb, N; Salami, M; Ali, L";"Taleb, Nasser; Salami, Mohammad; Ali, Liaqat";Impacts of Big-Data Technologies in Enhancing CRM Performance
"Yang, J; Zhang, Q; Gong, LH; Zhu, LZ; Liu, KP";"Yang Jing; Zhang Quan; Gong Lihua; Zhu Longzhu; Liu Kunpeng";Exploration on the Construction of Sharing Platform of Power Big Data Application
"Leung, CK; Chen, YB; Shang, SY; Deng, DY";"Leung, Carson K.; Chen, Yubo; Shang, Siyuan; Deng, Deyu";Big Data Science on COVID-19 Data
"Albladi, A; Alanazi, E";"Albladi, Abdulrahman; Alanazi, Eisa";A Conceptual Framework for Big Data Governance
"Ashabi, A; Bin Sahibuddin, S; Haghighi, MS";"Ashabi, Ardavan; Bin Sahibuddin, Shamsul; Haghighi, Mehdi Salkhordeh";Big Data: Current Challenges and Future Scope
"Lin, CH; Kunnathur, AS; Li, L";"Lin, Canchu; Kunnathur, Anand S.; Li, Long";Conceptualizing big data practices
"Xia, KL; Li, Y";"Xia, Kuiliang; Li, Yan";Exploration on Big Data Education for Computer majors in Applied Colleges and Universities
Dou, XS;Dou Xiangsheng;Big data and smart aviation information management system
"Macak, M; Ge, MZ; Buhnova, B";"Macak, Martin; Ge, Mouzhi; Buhnova, Barbora";A Cross-Domain Comparative Study of Big Data Architectures
Strang, KD;Strang, Kenneth David;Problems with research methods in medical device big data analytics
"Golbus, JR; Price, WN; Nallamothu, BK";"Golbus, Jessica R.; Price, W. Nicholson, II; Nallamothu, Brahmajee K.";Privacy Gaps for Digital Cardiology Data Big Problems With Big Data
"Cappa, F; Oriani, R; Peruffo, E; McCarthy, I";"Cappa, Francesco; Oriani, Raffaele; Peruffo, Enzo; McCarthy, Ian";Big Data for Creating and Capturing Value in the Digitalized Environment: Unpacking the Effects of Volume, Variety, and Veracity on Firm Performance*
"Mathur, A; Gupta, CP";"Mathur, Akanksha; Gupta, C. P.";Big Data Challenges and Issues: A Review
"Wang, SH; Wang, H";"Wang Shouhong; Wang Hai";Big data for small and medium-sized enterprises (SME): a knowledge management model
"Bach, MP; Bertoncel, T; Mesko, M; Vugec, DS; Ivancic, L";"Bach, Mirjana Pejic; Bertoncel, Tine; Mesko, Maja; Vugec, Dalia Susa; Ivancic, Lucija";Big Data Usage in European Countries: Cluster Analysis Approach
"Li, Q; Xu, ZY; Wei, HL; Yu, C; Wang, SS";"Li, Qing; Xu, Zhiyong; Wei, Hailong; Yu, Chao; Wang, ShuangShuang";General Big Data Architecture and Methodology: An Analysis Focused Framework
"Zheng, B; Zhang, XY; Yun, DW";"Zheng, Bing; Zhang, Xiaoying; Yun, Dawei";Virtual technology of cache and real-time big data distribution in cloud computing big data center
"Chang, V; Xiao, LN; Xu, QW; Arami, M";"Chang, Victor; Xiao, Lina; Xu, Qianwen; Arami, Mitra";A Review Paper on the Application of Big Data by Banking Institutions and Related Ethical Issues and Responses
Banks, MA;Banks, Marcus A.;Sizing up big data
"Deng, LQ; Ye, SP; Zhou, XD";"Deng, Liquan; Ye, Sipan; Zhou, Xudong";Research on Two-way Integration Business Process Reengineering under Big Data
"Raja, R; Mukherjee, I; Sarkar, BK";"Raja, Rakesh; Mukherjee, Indrajit; Sarkar, Bikash Kanti";A Systematic Review of Healthcare Big Data
"Chugh, A; Sharma, VK; Jain, C";"Chugh, Aarti; Sharma, Vivek Kumar; Jain, Charu";Big Data and Query Optimization Techniques
"AbdelAziz, AM; Ghany, KKA; Soliman, THA; Sewisy, AA";"AbdelAziz, Amr Mohamed; Ghany, Kareem Kamal A.; Soliman, Taysir Hassan A.; Sewisy, Adel Abu El-Magd";A parallel multi-objective swarm intelligence framework for Big Data analysis
Rhee, CK;Rhee, Chin Kook;Chronic obstructive pulmonary disease research by using big data
"Albritton, BH; Tonidandel, S";"Albritton, Betsy H.; Tonidandel, Scott";How Can Big Data Science Transform the Psychological Sciences?
"Willetts, M; Atkins, AS; Stanier, C";"Willetts, M.; Atkins, A. S.; Stanier, C.";A STRATEGIC BIG DATA ANALYTICS FRAMEWORK TO PROVIDE OPPORTUNITIES FOR SMES
"Benlachmi, Y; Hsnaoui, ML";"Benlachmi, Yassine; Hsnaoui, Moulay Lahcen";Current State and Challenges of Big Data
"Reis, T; Bornschlegl, MX; Hemmje, ML";"Reis, Thoralf; Bornschlegl, Marco X.; Hemmje, Matthias L.";Big Data Analysis, AI, and Visualization Workshop: Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis
Qi, CC;Qi, Chong-chong;Big data management in the mining industry
"Okuyucu, A; Yavuz, N";"Okuyucu, Aras; Yavuz, Nilay";Big data maturity models for the public sector: a review of state and organizational level models
"De Luca, LM; Herhausen, D; Troilo, G; Rossi, A";"De Luca, Luigi M.; Herhausen, Dennis; Troilo, Gabriele; Rossi, Andrea";How and when do big data investments pay off? The role of marketing affordances and service innovation
"Sellami, M; Mezni, H; Hacid, MS";"Sellami, Mokhtar; Mezni, Haithem; Hacid, Mohand Said";On the use of big data frameworks for big service composition
"Li, LH; Feng, Y; Li, L";"Li, Linghan; Feng, Yan; Li, Lei";Big data audit based on financial sharing service model
"Chen, WH; Quan-Haase, A";"Chen, Wenhong; Quan-Haase, Anabel";Big Data Ethics and Politics: Toward New Understandings
"Terzi, R; Sagiroglu, S; Demirezen, MU";"Terzi, Ramazan; Sagiroglu, Seref; Demirezen, Mustafa Umut";Big Data Perspective for Driver/Driving Behavior
"Radic, M; Frech, TM";"Radic, Mislav; Frech, Tracy M.";Big data in systemic sclerosis: Great potential for the future
"Wang, J; Yang, YQ; Wang, T; Sherratt, RS; Zhang, JY";"Wang, Jin; Yang, Yaqiong; Wang, Tian; Sherratt, R. Simon; Zhang, Jingyu";Big Data Service Architecture: A Survey
"Amaya, A; Biemer, PP; Kinyon, D";"Amaya, Ashley; Biemer, Paul P.; Kinyon, David";TOTAL ERROR IN A BIG DATA WORLD: ADAPTING THE TSE FRAMEWORK TO BIG DATA
"Cui, YS; Kara, S; Chan, KC";"Cui, Yesheng; Kara, Sami; Chan, Ka C.";Manufacturing big data ecosystem: A systematic literature review
"Liang, XB; Wang, K";"Liang, Xiangbo; Wang, Kun";Ocean Big Data Service Technology in a Distributed Network Environment
Lee, HY;Lee, Hae Young;Big Challenge in Big Data Research: Continual Dispute on Big Data Analysis
"El Haourani, L; Kalam, AA; Ouahman, AA";"El Haourani, Lamia; Kalam, Anas Abou El; Ouahman, Abdellah Ait";Big Data security and privacy techniques
"Emara, TZ; Huang, JZ";"Emara, Tamer Z.; Huang, Joshua Zhexue";Distributed Data Strategies to Support Large-Scale Data Analysis Across Geo-Distributed Data Centers
"Balazka, D; Rodighiero, D";"Balazka, Dominik; Rodighiero, Dario";Big Data and the Little Big Bang: An Epistemological (R)evolution
"Nisar, QA; Nasir, N; Jamshed, S; Naz, S; Ali, M; Ali, S";"Nisar, Qasim Ali; Nasir, Nadia; Jamshed, Samia; Naz, Shumaila; Ali, Mubashar; Ali, Shahzad";Big data management and environmental performance: role of big data decision-making capabilities and decision-making quality
"Evans, EA; Delorme, E; Cyr, K; Goldstein, DM";"Evans, Elizabeth A.; Delorme, Elizabeth; Cyr, Karl; Goldstein, Daniel M.";A qualitative study of big data and the opioid epidemic: recommendations for data governance
"Kolisetty, VV; Rajput, DS";"Kolisetty, Vishnu Vandana; Rajput, Dharmendra Singh";A REVIEW ON THE SIGNIFICANCE OF MACHINE LEARNING FOR DATA ANALYSIS IN BIG DATA
"Cui, YS; Kara, S; Chan, KC";"Cui, Yesheng; Kara, Sami; Chan, Ka C.";Monitoring and Control of Unstructured Manufacturing Big Data
